Texas Education Agency,,,,,,,,,,,,,,
2018-19 STAAR Performance (All Students),,,,,,,,,,,,,,
FLORESVILLE ISD (247901) - WILSON COUNTY,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,State,Region 20,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed","Econ
Disadv",EB/EL
"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",,,,,,,,,,,,,,
At Masters Grade Level,2019,14%,12%,9%,13%,9%,9%,*,*,*,0%,2%,7%,5%
,2018,12%,11%,7%,0%,6%,9%,*,*,-,18%,3%,4%,3%
All Grades Science,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,80%,78%,83%,80%,79%,91%,83%,80%,*,85%,52%,75%,64%
,2018,79%,77%,85%,78%,81%,94%,*,67%,-,91%,44%,78%,62%
At Meets Grade Level or Above,2019,53%,51%,57%,50%,50%,74%,50%,40%,*,69%,22%,45%,26%
,2018,49%,48%,54%,67%,47%,68%,*,50%,-,65%,18%,42%,20%
At Masters Grade Level,2019,24%,23%,25%,30%,18%,39%,0%,20%,*,31%,5%,16%,11%
,2018,22%,21%,25%,33%,19%,36%,*,33%,-,43%,3%,12%,2%
All Grades Social Studies,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2019,80%,79%,84%,80%,81%,90%,*,86%,*,83%,60%,77%,40%
,2018,78%,77%,84%,86%,81%,91%,*,-,*,91%,44%,75%,53%
At Meets Grade Level or Above,2019,54%,54%,57%,20%,51%,69%,*,86%,*,67%,30%,45%,7%
,2018,52%,51%,60%,57%,54%,74%,*,-,*,45%,16%,47%,20%
At Masters Grade Level,2019,32%,33%,33%,0%,28%,45%,*,57%,*,67%,10%,20%,0%
,2018,30%,30%,36%,29%,30%,50%,*,-,*,36%,7%,25%,7%
