Texas Education Agency,,,,,,,,,,,,,,
2022-23 STAAR Performance (All Students),,,,,,,,,,,,,,
FLORESVILLE ISD (247901) - WILSON COUNTY,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,State,Region 20,District,"African
American",Hispanic,White,"American
Indian",Asian,"Pacific
Islander","Two or
More
Races","Special
Ed","Econ
Disadv",EB/EL
"STAAR Performance Rates by Tested Grade, Subject, and Performance Level",,,,,,,,,,,,,,
,2022,74%,73%,72%,71%,67%,83%,*,100%,*,78%,49%,63%,54%
At Meets Grade Level or Above,2023,46%,45%,43%,38%,35%,60%,*,50%,*,44%,25%,32%,22%
,2022,46%,44%,38%,50%,31%,51%,*,80%,*,61%,16%,26%,20%
At Masters Grade Level,2023,17%,17%,13%,19%,10%,18%,*,17%,*,6%,4%,7%,2%
,2022,20%,19%,14%,0%,9%,25%,*,40%,*,35%,5%,8%,11%
All Grades Social Studies,,,,,,,,,,,,,,
At Approaches Grade Level or Above,2023,77%,77%,78%,75%,75%,84%,*,*,*,100%,60%,69%,68%
,2022,74%,74%,73%,*,70%,77%,*,*,*,90%,43%,66%,47%
At Meets Grade Level or Above,2023,50%,50%,50%,50%,47%,53%,*,*,*,67%,24%,40%,30%
,2022,49%,48%,43%,*,37%,54%,*,*,*,80%,27%,35%,18%
At Masters Grade Level,2023,26%,26%,25%,25%,24%,27%,*,*,*,33%,10%,17%,7%
,2022,29%,29%,21%,*,17%,28%,*,*,*,40%,8%,14%,5%
